Res DU,Res BE,Res FR,Res GB,
98889.9824,8285.049004,64026.71,40556.94665,
114062.6243,13769.2997,85462.61,49152.37283,
101956.6466,14338.2222,84155.12,41930.5239,
94009.34743,17868.5818,83831.82,36790.04517,
105244.0787,19304.05612,81396.40,32417.82291,
104216.402,19446.0165,86018.67,26532.44819,
138733.0738,25693.49522,121269.78,33845.58711,
121010.7754,23825.17164,111561.80,25721.82935,
127760.0285,24580.86051,115523.03,27670.74632,
117071.5626,24217.54877,104532.56,20327.99423,
107349.752,22837.38085,91011.13,8331.10298,
108543.6205,22529.36294,87725.90,-2608.883322,
111062.7653,22994.85045,84533.00,-13485.11713,
112271.4001,22729.78633,82081.48,-11191.96979,
118026.8303,20408.13835,85171.53,-21596.07917,
135788.6824,17340.68994,92652.88,-15718.28438,
125525.4283,14111.36301,102012.81,-4953.944989,
158485.5676,12537.50017,146590.45,24398.70639,
106529.0834,1053.557574,108800.36,10386.88713,
95453.83795,-1162.309936,95482.28,9571.357374,
59563.28437,-2456.227131,77389.16,6986.764257,
40200.16328,-4446.843451,54762.55,7643.598783,
25514.6754,-5809.484321,37449.54,10524.85801,
-1677.234275,-11565.25751,-1803.12,-2745.016063,
-1325.479021,-12084.81256,-20820.42,-5850.367104,
-5318.746019,-13626.36382,-44453.83,-7722.499949,
-5696.983503,-14352.87513,-69458.79,-9151.973586,
7581.554001,-15016.97025,-83816.03,-8650.105137,
24151.46627,-16342.30205,-93610.18,22793.48014,
42462.06391,-16199.52795,-97203.42,-6126.214534,
98376.74305,-10065.53803,-68275.74,12769.5082,
79393.75428,-13755.98283,-100076.34,2383.600943,
104046.979,-11832.18377,-92969.44,13368.4158,
110891.7427,-11366.46311,-97334.94,16241.07009,
112459.0736,-12499.35051,-115671.26,4870.520938,
106631.393,-14034.96219,-129052.38,-11650.73444,
99341.9948,-15875.25831,-130990.91,-22496.22347,
102327.8343,-16784.10446,-123572.54,-30216.60296,
112772.3554,-15243.81743,-106006.74,-18679.76589,
125135.6658,-12457.14593,-85219.16,-9481.629707,
132561.1271,-9582.382725,-62951.65,10606.98015,
177716.3368,-1315.612428,-12086.51,41795.68574,
136946.3477,-6709.704861,-33846.20,21420.62073,
127136.2513,-7297.893702,-32050.86,19246.86098,
116969.3845,-7702.338845,-27520.22,17481.60695,
104226.6568,-8613.472617,-17489.02,13685.60033,
94943.38148,-9452.338696,-5666.48,8064.751879,
65603.99453,-13587.14886,-19330.61,-6655.112547,
-28290.37537,-18838.90269,-153418.59,-35408.36339,
-42801.01224,-20572.48862,-157714.10,-39523.65408,
-54338.51328,-21397.56135,-157300.57,-42599.50948,
-57977.40301,-20597.01006,-151518.37,-41711.63826,
-51913.19639,-18888.86691,-135960.27,-37123.64979,
-48691.81248,-16685.25275,-131222.45,-32742.03433,
-10742.22162,-9413.720939,-96118.62,-14665.59949,
-37718.5647,-14107.25522,-122950.87,-24836.61998,
-31354.4015,-13146.76949,-114230.17,-21111.26915,
-27942.31001,-9957.930201,-106292.08,-9590.656597,
-31747.41596,-11016.94233,-109097.17,-1013.307391,
-42911.1577,-12487.90262,-118422.64,-2235.174358,
-44580.07044,-8716.883465,-121526.38,-5222.871029,
-33076.76555,-1802.39934,-103388.87,-6064.126234,
